date,gameId,playerName,team,opponent,nbaId,PTS,FGA,FTA,TOV,source
2002-05-08,gen_2002_20020508_BOS_DET,Rodney Rogers,BOS,DET,915,13.0,12.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-10,gen_2002_20020510_BOS_DET,Rodney Rogers,BOS,DET,915,3.0,8.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_BOS_DET,Rodney Rogers,BOS,DET,915,7.0,6.0,0.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-14,gen_2002_20020514_BOS_DET,Rodney Rogers,BOS,DET,915,14.0,7.0,2.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-19,gen_2002_20020519_BOS_NJN,Rodney Rogers,BOS,NJN,915,7.0,5.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-21,gen_2002_20020521_BOS_NJN,Rodney Rogers,BOS,NJN,915,2.0,1.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-25,gen_2002_20020525_BOS_NJN,Rodney Rogers,BOS,NJN,915,10.0,4.0,6.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-27,gen_2002_20020527_BOS_NJN,Rodney Rogers,BOS,NJN,915,12.0,8.0,8.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-29,gen_2002_20020529_BOS_NJN,Rodney Rogers,BOS,NJN,915,20.0,9.0,4.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-31,gen_2002_20020531_BOS_NJN,Rodney Rogers,BOS,NJN,915,13.0,8.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DAL_MIN,Sam Mitchell,MIN,DAL,417,6.0,5.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Sam Mitchell,MIN,DAL,417,2.0,4.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_DAL_MIN,Sam Mitchell,MIN,DAL,417,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-28,gen_2002_20020528_LAL_SAC,Scot Pollard,SAC,LAL,1513,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_SAC_UTA,Scott Padgett,UTA,SAC,1909,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Shawn Bradley,DAL,MIN,762,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-09,gen_2002_20020509_DAL_SAC,Shawn Bradley,DAL,SAC,762,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-11,gen_2002_20020511_DAL_SAC,Shawn Bradley,DAL,SAC,762,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
